model,benchmark,skill_config,score,score_std,pass_rate,n_cases,avg_latency_ms,latency_std,avg_tokens,skill_delta,n_runs
gemma4:e2b,end_to_end_task_completion,all_skills,0.788,0.000,78.8%,33,71982.9,1768.1,46417,+0.152,3
gemma4:e2b,end_to_end_task_completion,no_skills,0.636,0.000,63.6%,33,116369.1,13781.0,22440,—,3
gemma4:e2b,skill_selection_accuracy,all_skills,1.000,0.000,100.0%,33,31915.2,2328.4,24829,n/a,3
gemma4:e4b,end_to_end_task_completion,all_skills,0.879,0.000,87.9%,33,129898.0,9195.9,52314,+0.424,3
gemma4:e4b,end_to_end_task_completion,no_skills,0.455,0.000,45.5%,33,144077.9,13421.1,18261,—,3
gemma4:e4b,skill_selection_accuracy,all_skills,0.939,0.000,93.9%,33,4370.3,2993.0,19783,n/a,3
gpt-oss:20b,end_to_end_task_completion,all_skills,0.879,0.000,87.9%,33,76579.4,2013.3,40414,+0.121,3
gpt-oss:20b,end_to_end_task_completion,no_skills,0.758,0.000,75.8%,33,131349.6,8638.0,17638,—,3
gpt-oss:20b,skill_selection_accuracy,all_skills,1.000,0.000,100.0%,33,20309.8,5068.6,21992,n/a,3
ministral-3:14b,end_to_end_task_completion,all_skills,0.848,0.000,84.8%,33,27732.4,825.4,34486,+0.242,3
ministral-3:14b,end_to_end_task_completion,no_skills,0.606,0.000,60.6%,33,8269.4,199.0,3248,—,3
ministral-3:14b,skill_selection_accuracy,all_skills,1.000,0.000,100.0%,33,9772.3,5156.2,19377,n/a,3
ministral-3:3b,end_to_end_task_completion,all_skills,0.909,0.000,90.9%,33,13505.9,374.7,43925,+0.545,3
ministral-3:3b,end_to_end_task_completion,no_skills,0.364,0.000,36.4%,33,6401.0,487.7,3981,—,3
ministral-3:3b,skill_selection_accuracy,all_skills,0.970,0.000,97.0%,33,2807.3,1937.4,19378,n/a,3
ministral-3:8b,end_to_end_task_completion,all_skills,0.939,0.000,93.9%,33,23005.5,846.2,40989,+0.364,3
ministral-3:8b,end_to_end_task_completion,no_skills,0.576,0.000,57.6%,33,5890.8,198.2,3352,—,3
ministral-3:8b,skill_selection_accuracy,all_skills,1.000,0.000,100.0%,33,5055.1,3050.6,19377,n/a,3
nemotron-3-nano:4b,end_to_end_task_completion,all_skills,0.747,0.017,74.7%,33,195349.1,23424.8,66255,+0.141,3
nemotron-3-nano:4b,end_to_end_task_completion,no_skills,0.606,0.000,60.6%,33,131226.4,20710.8,15746,—,3
nemotron-3-nano:4b,skill_selection_accuracy,all_skills,1.000,0.000,100.0%,33,35544.0,4006.6,22458,n/a,3
qwen3.5:2b,end_to_end_task_completion,all_skills,0.727,0.000,72.7%,33,232028.3,10212.9,85037,+0.576,3
qwen3.5:2b,end_to_end_task_completion,no_skills,0.152,0.052,15.2%,33,93631.9,4365.2,19417,—,3
qwen3.5:2b,skill_selection_accuracy,all_skills,0.939,0.000,93.9%,33,104131.9,2346.5,31996,n/a,3
qwen3.5:4b,end_to_end_task_completion,all_skills,0.939,0.000,93.9%,33,188289.5,2897.4,66692,+0.808,3
qwen3.5:4b,end_to_end_task_completion,no_skills,0.131,0.017,13.1%,33,38280.9,7454.5,10203,—,3
qwen3.5:4b,skill_selection_accuracy,all_skills,0.980,0.017,98.0%,33,149542.1,4677.3,29429,n/a,3
qwen3.5:9b,end_to_end_task_completion,all_skills,0.939,0.000,93.9%,33,291272.0,11019.0,68859,+0.758,3
qwen3.5:9b,end_to_end_task_completion,no_skills,0.182,0.061,18.2%,33,57903.5,6280.1,8414,—,3
qwen3.5:9b,skill_selection_accuracy,all_skills,1.000,0.000,100.0%,33,79646.8,6149.2,23365,n/a,3
